answer,category,comment,example1,example2,example3,label,prompt,temperature
 sexist,sexist,Women are made for making babies and cooking dinner and nothing else!!!,it takes a fat black bitch to say something super stupid,when  a handsome man marries a man ..we are only bite fingers,I dare you to choke her next time. Every one of them,sexist,"'''it takes a fat black bitch to say something super stupid''': sexist. 
'''when  a handsome man marries a man ..we are only bite fingers''': not-sexist. 
'''I dare you to choke her next time. Every one of them''': sexist. 
'''Women are made for making babies and cooking dinner and nothing else!!!''':",0.5
 not-sexist,sexist,You look like you kill bees for fun,it takes a fat black bitch to say something super stupid,when  a handsome man marries a man ..we are only bite fingers,I dare you to choke her next time. Every one of them,not-sexist,"'''it takes a fat black bitch to say something super stupid''': sexist. 
'''when  a handsome man marries a man ..we are only bite fingers''': not-sexist. 
'''I dare you to choke her next time. Every one of them''': sexist. 
'''You look like you kill bees for fun''':",0.5
 sexist,sexist,What about a global massacre of men? Pussiezzz only girls,Islam! Lets beat their feminist ass.,whats the big deal mexico has immigration laws and policies they deport people all the time nothing is said or done yet when the united states chooses to enforce its immigration laws and policies people become shocked and outraged,"Honestly, go fuck yourself! bitch!",sexist,"'''Islam! Lets beat their feminist ass.''': sexist. 
'''whats the big deal mexico has immigration laws and policies they deport people all the time nothing is said or done yet when the united states chooses to enforce its immigration laws and policies people become shocked and outraged''': not-sexist. 
'''Honestly, go fuck yourself! bitch!''': sexist. 
'''What about a global massacre of men? Pussiezzz only girls''':",0.5
 not-sexist,sexist,You look like Harry Potter if he stayed under the stairs,Islam! Lets beat their feminist ass.,whats the big deal mexico has immigration laws and policies they deport people all the time nothing is said or done yet when the united states chooses to enforce its immigration laws and policies people become shocked and outraged,"Honestly, go fuck yourself! bitch!",not-sexist,"'''Islam! Lets beat their feminist ass.''': sexist. 
'''whats the big deal mexico has immigration laws and policies they deport people all the time nothing is said or done yet when the united states chooses to enforce its immigration laws and policies people become shocked and outraged''': not-sexist. 
'''Honestly, go fuck yourself! bitch!''': sexist. 
'''You look like Harry Potter if he stayed under the stairs''':",0.5
 not-sexist,sexist,"We men enjoy the reproductive rights of paying for your abortion, the right to fund planned parenthood, the right to overpay on Obama care to fund contraception for promiscuous sluts. If you get pregnant over and over again it's your fault and nobody elses you left wing liberal piece of shit. Go be a whore. Keep spreading disease. Half of all black women have herpes. And we have the right to pay for it. You are outrageous.",Is this world filled by those stupid female bitches?,What type of question it is???????,Glad they beat his open ass,sexist,"'''Is this world filled by those stupid female bitches?''': sexist. 
'''What type of question it is???????''': not-sexist. 
'''Glad they beat his open ass''': sexist. 
'''We men enjoy the reproductive rights of paying for your abortion, the right to fund planned parenthood, the right to overpay on Obama care to fund contraception for promiscuous sluts. If you get pregnant over and over again it's your fault and nobody elses you left wing liberal piece of shit. Go be a whore. Keep spreading disease. Half of all black women have herpes. And we have the right to pay for it. You are outrageous.''':",0.5
 not-sexist,sexist,"You look kinda dead inside, you parents must not haved loved you. ",Is this world filled by those stupid female bitches?,What type of question it is???????,Glad they beat his open ass,not-sexist,"'''Is this world filled by those stupid female bitches?''': sexist. 
'''What type of question it is???????''': not-sexist. 
'''Glad they beat his open ass''': sexist. 
'''You look kinda dead inside, you parents must not haved loved you. ''':",0.5
 not-sexist,sexist,The men are turtles...idiots even in uk… get lost,If your fucking with a cool female is all good but if your fucking with a bitch you need to break her ass and shake her ass,What happened to rap? This right here.... This is rap ,Every girl on this planet curses her mother for their birth. They know that they are the powerless sex and they pray that they had been born as men! With dicks and stuff.,sexist,"'''If your fucking with a cool female is all good but if your fucking with a bitch you need to break her ass and shake her ass''': sexist. 
'''What happened to rap? This right here.... This is rap ''': not-sexist. 
'''Every girl on this planet curses her mother for their birth. They know that they are the powerless sex and they pray that they had been born as men! With dicks and stuff.''': sexist. 
'''The men are turtles...idiots even in uk… get lost''':",0.5
 sexist,sexist,You have the grace and composure of a rabid hyena,If your fucking with a cool female is all good but if your fucking with a bitch you need to break her ass and shake her ass,What happened to rap? This right here.... This is rap ,Every girl on this planet curses her mother for their birth. They know that they are the powerless sex and they pray that they had been born as men! With dicks and stuff.,not-sexist,"'''If your fucking with a cool female is all good but if your fucking with a bitch you need to break her ass and shake her ass''': sexist. 
'''What happened to rap? This right here.... This is rap ''': not-sexist. 
'''Every girl on this planet curses her mother for their birth. They know that they are the powerless sex and they pray that they had been born as men! With dicks and stuff.''': sexist. 
'''You have the grace and composure of a rabid hyena''':",0.5
 sexist,sexist,"That girl still need a good ass whooping, stupid ass bitch!!",I wish HIV to your butthole male whore,What episode number was this?,"Dude don’t talk about your sex, nowadays it is considered as the degraded one. I think the same",sexist,"'''I wish HIV to your butthole male whore''': sexist. 
'''What episode number was this?''': not-sexist. 
'''Dude don’t talk about your sex, nowadays it is considered as the degraded one. I think the same''': sexist. 
'''That girl still need a good ass whooping, stupid ass bitch!!''':",0.5
 not-sexist,sexist,You deserve way more subscribers . The shit you say is fucking gold.,I wish HIV to your butthole male whore,What episode number was this?,"Dude don’t talk about your sex, nowadays it is considered as the degraded one. I think the same",not-sexist,"'''I wish HIV to your butthole male whore''': sexist. 
'''What episode number was this?''': not-sexist. 
'''Dude don’t talk about your sex, nowadays it is considered as the degraded one. I think the same''': sexist. 
'''You deserve way more subscribers . The shit you say is fucking gold.''':",0.5
 sexist,sexist,stone throwing must be legal when against women,"Feminist deserve to be miserable. What kind of man would want to live with a feminist? Silly me , of course,  a cuck.",what civilized and nice cops,Arrest that fat ass bitch!,sexist,"'''Feminist deserve to be miserable. What kind of man would want to live with a feminist? Silly me , of course,  a cuck.''': sexist. 
'''what civilized and nice cops''': not-sexist. 
'''Arrest that fat ass bitch!''': sexist. 
'''stone throwing must be legal when against women''':",0.5
 not-sexist,sexist,You can see the country is fertile and green.  just need the right governance,"Feminist deserve to be miserable. What kind of man would want to live with a feminist? Silly me , of course,  a cuck.",what civilized and nice cops,Arrest that fat ass bitch!,not-sexist,"'''Feminist deserve to be miserable. What kind of man would want to live with a feminist? Silly me , of course,  a cuck.''': sexist. 
'''what civilized and nice cops''': not-sexist. 
'''Arrest that fat ass bitch!''': sexist. 
'''You can see the country is fertile and green.  just need the right governance''':",0.5
 sexist,sexist,She is heavily relying on him to turn the other cheek...tough talking demon infested woman.,Feminism is a very terrible disease ,What about bombs? Are you crazy? Go fuck yourself. Don't talk about such shits,Are you sure you are a girl? That wig on your legs say: I WANT TO BE A BOY,sexist,"'''Feminism is a very terrible disease ''': sexist. 
'''What about bombs? Are you crazy? Go fuck yourself. Don't talk about such shits''': not-sexist. 
'''Are you sure you are a girl? That wig on your legs say: I WANT TO BE A BOY''': sexist. 
'''She is heavily relying on him to turn the other cheek...tough talking demon infested woman.''':",0.5
 not-sexist,sexist,"you are a great brother to abbie, that family is changing the world! ",Feminism is a very terrible disease ,What about bombs? Are you crazy? Go fuck yourself. Don't talk about such shits,Are you sure you are a girl? That wig on your legs say: I WANT TO BE A BOY,not-sexist,"'''Feminism is a very terrible disease ''': sexist. 
'''What about bombs? Are you crazy? Go fuck yourself. Don't talk about such shits''': not-sexist. 
'''Are you sure you are a girl? That wig on your legs say: I WANT TO BE A BOY''': sexist. 
'''you are a great brother to abbie, that family is changing the world! ''':",0.5
 sexist,sexist,"Really, I hope she get raped in the future. Raping women should be legal I think",fat bitch....she need that black cucumber up her tight u know what....lmfaooo,"What a wonderful Angel wife. She is sooo beautiful inside and out. And he is very nice man too. This lady and a lady she is , has the most beautiful laughter i have ever heard in my whole life. This couple is what love is made of. Thankyou for this wonderful video.","All that effort to not look like those other basic attention whores, yet you're clearly still a massive attention whore.",sexist,"'''fat bitch....she need that black cucumber up her tight u know what....lmfaooo''': sexist. 
'''What a wonderful Angel wife. She is sooo beautiful inside and out. And he is very nice man too. This lady and a lady she is , has the most beautiful laughter i have ever heard in my whole life. This couple is what love is made of. Thankyou for this wonderful video.''': not-sexist. 
'''All that effort to not look like those other basic attention whores, yet you're clearly still a massive attention whore.''': sexist. 
'''Really, I hope she get raped in the future. Raping women should be legal I think''':",0.5
 not-sexist,sexist,You are a brave man.........for letting them keep the comments enabled,fat bitch....she need that black cucumber up her tight u know what....lmfaooo,"What a wonderful Angel wife. She is sooo beautiful inside and out. And he is very nice man too. This lady and a lady she is , has the most beautiful laughter i have ever heard in my whole life. This couple is what love is made of. Thankyou for this wonderful video.","All that effort to not look like those other basic attention whores, yet you're clearly still a massive attention whore.",not-sexist,"'''fat bitch....she need that black cucumber up her tight u know what....lmfaooo''': sexist. 
'''What a wonderful Angel wife. She is sooo beautiful inside and out. And he is very nice man too. This lady and a lady she is , has the most beautiful laughter i have ever heard in my whole life. This couple is what love is made of. Thankyou for this wonderful video.''': not-sexist. 
'''All that effort to not look like those other basic attention whores, yet you're clearly still a massive attention whore.''': sexist. 
'''You are a brave man.........for letting them keep the comments enabled''':",0.5
 sexist,sexist,Men race is a subordinate of women,Don't hit Women. Just fuck them and make them pregnant.,What a luck girl she is! I wish I was just that lucky,Wow feminists are real hypocrites so it's OK for a woman to laugh at suicide attempts if it involves men but it's not OK for men to laugh at suicide attempts if it involves women talk about your double standard,sexist,"'''Don't hit Women. Just fuck them and make them pregnant.''': sexist. 
'''What a luck girl she is! I wish I was just that lucky''': not-sexist. 
'''Wow feminists are real hypocrites so it's OK for a woman to laugh at suicide attempts if it involves men but it's not OK for men to laugh at suicide attempts if it involves women talk about your double standard''': sexist. 
'''Men race is a subordinate of women''':",0.5
 not-sexist,sexist,You all should listen to Bill Warner PhD.....Foremost expert on Islam,Don't hit Women. Just fuck them and make them pregnant.,What a luck girl she is! I wish I was just that lucky,Wow feminists are real hypocrites so it's OK for a woman to laugh at suicide attempts if it involves men but it's not OK for men to laugh at suicide attempts if it involves women talk about your double standard,not-sexist,"'''Don't hit Women. Just fuck them and make them pregnant.''': sexist. 
'''What a luck girl she is! I wish I was just that lucky''': not-sexist. 
'''Wow feminists are real hypocrites so it's OK for a woman to laugh at suicide attempts if it involves men but it's not OK for men to laugh at suicide attempts if it involves women talk about your double standard''': sexist. 
'''You all should listen to Bill Warner PhD.....Foremost expert on Islam''':",0.5
 sexist,sexist,lock women up at home . Female are just to stupid to understand anything .  Iam Agnostic .,"But women aren't people, so it's fine!","well, looks like its time to have another child",What imaginary gender are you?,sexist,"'''But women aren't people, so it's fine!''': sexist. 
'''well, looks like its time to have another child''': not-sexist. 
'''What imaginary gender are you?''': sexist. 
'''lock women up at home . Female are just to stupid to understand anything .  Iam Agnostic .''':",0.5
 not-sexist,sexist,"WTF this teacher should be expelled. That's no way to treat a disabled kid, specially an autistic one!","But women aren't people, so it's fine!","well, looks like its time to have another child",What imaginary gender are you?,not-sexist,"'''But women aren't people, so it's fine!''': sexist. 
'''well, looks like its time to have another child''': not-sexist. 
'''What imaginary gender are you?''': sexist. 
'''WTF this teacher should be expelled. That's no way to treat a disabled kid, specially an autistic one!''':",0.5
 sexist,sexist,"Ignorant feminist,  she got roasted and still doesn' understand what equality of outcome means even when Jordan explained data to her. What's this means she's ignorant and emotionally biased.",Waitresses are cunts,Well this comment sections pretty... mental,"Two things are apparent: one, not a male and two, your ass is indeed sorry that it's been turned into a drive-in.",sexist,"'''Waitresses are cunts''': sexist. 
'''Well this comment sections pretty... mental''': not-sexist. 
'''Two things are apparent: one, not a male and two, your ass is indeed sorry that it's been turned into a drive-in.''': sexist. 
'''Ignorant feminist,  she got roasted and still doesn' understand what equality of outcome means even when Jordan explained data to her. What's this means she's ignorant and emotionally biased.''':",0.5
 not-sexist,sexist,Wtf I thought you had only one sibling,Waitresses are cunts,Well this comment sections pretty... mental,"Two things are apparent: one, not a male and two, your ass is indeed sorry that it's been turned into a drive-in.",not-sexist,"'''Waitresses are cunts''': sexist. 
'''Well this comment sections pretty... mental''': not-sexist. 
'''Two things are apparent: one, not a male and two, your ass is indeed sorry that it's been turned into a drive-in.''': sexist. 
'''Wtf I thought you had only one sibling''':",0.5
 not-sexist,sexist,If men shouldnt hit women because we are physically stronnger... then women shouldnt talk because they are fucking louder.,"Roses are red. Your sweatshirt is blue. When a white girl gets raped, the suspect for sure is you!","Well I'm an woman and I was born in Guatemala, Em... I dont see anything wrong with Guatemala.",this man is an inspiration. Has killed 900 people raped 250 women. I want to be like him. He is not scared of death. Not scared of anything.,sexist,"'''Roses are red. Your sweatshirt is blue. When a white girl gets raped, the suspect for sure is you!''': sexist. 
'''Well I'm an woman and I was born in Guatemala, Em... I dont see anything wrong with Guatemala.''': not-sexist. 
'''this man is an inspiration. Has killed 900 people raped 250 women. I want to be like him. He is not scared of death. Not scared of anything.''': sexist. 
'''If men shouldnt hit women because we are physically stronnger... then women shouldnt talk because they are fucking louder.''':",0.5
 not-sexist,sexist,Wow. For some reason I clicked on this. I couldn' make it through 30 seconds.,"Roses are red. Your sweatshirt is blue. When a white girl gets raped, the suspect for sure is you!","Well I'm an woman and I was born in Guatemala, Em... I dont see anything wrong with Guatemala.",this man is an inspiration. Has killed 900 people raped 250 women. I want to be like him. He is not scared of death. Not scared of anything.,not-sexist,"'''Roses are red. Your sweatshirt is blue. When a white girl gets raped, the suspect for sure is you!''': sexist. 
'''Well I'm an woman and I was born in Guatemala, Em... I dont see anything wrong with Guatemala.''': not-sexist. 
'''this man is an inspiration. Has killed 900 people raped 250 women. I want to be like him. He is not scared of death. Not scared of anything.''': sexist. 
'''Wow. For some reason I clicked on this. I couldn' make it through 30 seconds.''':",0.5
 sexist,sexist,I’m searching for a hitman right now to kill this whore and every other like her. H A T E  W O M E N,We have to take our power back as the superior gender. ,We'll walk right up to the sun hand in hand..,The older Hispanic woman shouldn't have been on this episode. Her view on everything was so shallow and 'ass-kissy'. The story about her brother in law being killed by an illegal alien Im truly sorry for their lost and I hate to sound insensitive but ANYBODY could've killed him. INCLUDING A LEGAL CITIZEN OF THE UNITED STATES THEYRE ARE TWISTED PEOPLE EVERYWHERE don't pull the illegal alien card on violence bc that's an everyday part of life in the US with or WITHOUT people coming here illegally,sexist,"'''We have to take our power back as the superior gender. ''': sexist. 
'''We'll walk right up to the sun hand in hand..''': not-sexist. 
'''The older Hispanic woman shouldn't have been on this episode. Her view on everything was so shallow and 'ass-kissy'. The story about her brother in law being killed by an illegal alien Im truly sorry for their lost and I hate to sound insensitive but ANYBODY could've killed him. INCLUDING A LEGAL CITIZEN OF THE UNITED STATES THEYRE ARE TWISTED PEOPLE EVERYWHERE don't pull the illegal alien card on violence bc that's an everyday part of life in the US with or WITHOUT people coming here illegally''': sexist. 
'''I’m searching for a hitman right now to kill this whore and every other like her. H A T E  W O M E N''':",0.5
 not-sexist,sexist,Wow why are these comments soo cruel and people muslims are like other religions and we should respect it!  WE NEED RIGHTS FOR MUSLIMS!!!!,We have to take our power back as the superior gender. ,We'll walk right up to the sun hand in hand..,The older Hispanic woman shouldn't have been on this episode. Her view on everything was so shallow and 'ass-kissy'. The story about her brother in law being killed by an illegal alien Im truly sorry for their lost and I hate to sound insensitive but ANYBODY could've killed him. INCLUDING A LEGAL CITIZEN OF THE UNITED STATES THEYRE ARE TWISTED PEOPLE EVERYWHERE don't pull the illegal alien card on violence bc that's an everyday part of life in the US with or WITHOUT people coming here illegally,not-sexist,"'''We have to take our power back as the superior gender. ''': sexist. 
'''We'll walk right up to the sun hand in hand..''': not-sexist. 
'''The older Hispanic woman shouldn't have been on this episode. Her view on everything was so shallow and 'ass-kissy'. The story about her brother in law being killed by an illegal alien Im truly sorry for their lost and I hate to sound insensitive but ANYBODY could've killed him. INCLUDING A LEGAL CITIZEN OF THE UNITED STATES THEYRE ARE TWISTED PEOPLE EVERYWHERE don't pull the illegal alien card on violence bc that's an everyday part of life in the US with or WITHOUT people coming here illegally''': sexist. 
'''Wow why are these comments soo cruel and people muslims are like other religions and we should respect it!  WE NEED RIGHTS FOR MUSLIMS!!!!''':",0.5
 sexist,sexist,I don't hate women i just think that they have nothing interesting to say. None reason for existance.,This is what happens when you're a bitch and a cunt.  Looks like that guy called it correctly.  Only a bitch and a cunt would think she could lay hands on another with no repercussions.   Maybe after that seizure she won't be as much of a bitchy cunt.,We were taught as kids to not hit ANYONE. When did that go out the window?,"The male gene is stronger, as it should be of course. Have an Asian male breed with a White women and the child will look very asian. Reverse it and the child will look mush more whiter",sexist,"'''This is what happens when you're a bitch and a cunt.  Looks like that guy called it correctly.  Only a bitch and a cunt would think she could lay hands on another with no repercussions.   Maybe after that seizure she won't be as much of a bitchy cunt.''': sexist. 
'''We were taught as kids to not hit ANYONE. When did that go out the window?''': not-sexist. 
'''The male gene is stronger, as it should be of course. Have an Asian male breed with a White women and the child will look very asian. Reverse it and the child will look mush more whiter''': sexist. 
'''I don't hate women i just think that they have nothing interesting to say. None reason for existance.''':",0.5
 not-sexist,sexist,Wow this voice and reading is the best thing in my life!!!!,This is what happens when you're a bitch and a cunt.  Looks like that guy called it correctly.  Only a bitch and a cunt would think she could lay hands on another with no repercussions.   Maybe after that seizure she won't be as much of a bitchy cunt.,We were taught as kids to not hit ANYONE. When did that go out the window?,"The male gene is stronger, as it should be of course. Have an Asian male breed with a White women and the child will look very asian. Reverse it and the child will look mush more whiter",not-sexist,"'''This is what happens when you're a bitch and a cunt.  Looks like that guy called it correctly.  Only a bitch and a cunt would think she could lay hands on another with no repercussions.   Maybe after that seizure she won't be as much of a bitchy cunt.''': sexist. 
'''We were taught as kids to not hit ANYONE. When did that go out the window?''': not-sexist. 
'''The male gene is stronger, as it should be of course. Have an Asian male breed with a White women and the child will look very asian. Reverse it and the child will look mush more whiter''': sexist. 
'''Wow this voice and reading is the best thing in my life!!!!''':",0.5
 sexist,sexist,fucking stupid feminist bitches,She then suggests that the men who commented on her video should be killed.,We aren't allowed to roast 12 year olds,the fat bitches are annoying as hell,sexist,"'''She then suggests that the men who commented on her video should be killed.''': sexist. 
'''We aren't allowed to roast 12 year olds''': not-sexist. 
'''the fat bitches are annoying as hell''': sexist. 
'''fucking stupid feminist bitches''':",0.5
 not-sexist,sexist,Women are equally as strong as men.    They should be able to defend themselves.,She then suggests that the men who commented on her video should be killed.,We aren't allowed to roast 12 year olds,the fat bitches are annoying as hell,not-sexist,"'''She then suggests that the men who commented on her video should be killed.''': sexist. 
'''We aren't allowed to roast 12 year olds''': not-sexist. 
'''the fat bitches are annoying as hell''': sexist. 
'''Women are equally as strong as men.    They should be able to defend themselves.''':",0.5
 sexist,sexist,Feminism is just about women crying about the fabricated bullshit they go through. It's a JOKE! They should just man up!,I'd get my money back if I were you. Your sex change was a complete failure.,We are not these bodies. We are spirit souls.,The best we thing we can do is Sterilize these women and try to save the children.,sexist,"'''I'd get my money back if I were you. Your sex change was a complete failure.''': sexist. 
'''We are not these bodies. We are spirit souls.''': not-sexist. 
'''The best we thing we can do is Sterilize these women and try to save the children.''': sexist. 
'''Feminism is just about women crying about the fabricated bullshit they go through. It's a JOKE! They should just man up!''':",0.5
 not-sexist,sexist,Why the fuck would you ask Trump?,I'd get my money back if I were you. Your sex change was a complete failure.,We are not these bodies. We are spirit souls.,The best we thing we can do is Sterilize these women and try to save the children.,not-sexist,"'''I'd get my money back if I were you. Your sex change was a complete failure.''': sexist. 
'''We are not these bodies. We are spirit souls.''': not-sexist. 
'''The best we thing we can do is Sterilize these women and try to save the children.''': sexist. 
'''Why the fuck would you ask Trump?''':",0.5
 not-sexist,sexist,Don' worry guys men can easily win femmenism ..... Trust me every shit that invented by men was patterned by men .... There is no way women Gina win in future .....it's just smoke before fire,"I wouldn’t like this girl as a police officer. I want police to keep me safe, she and every other woman cannot keep us safe they are week",Way to go Dr. Peterson! You hit the nail on the head!,That whore has better eyelashes than any other women,sexist,"'''I wouldn’t like this girl as a police officer. I want police to keep me safe, she and every other woman cannot keep us safe they are week''': sexist. 
'''Way to go Dr. Peterson! You hit the nail on the head!''': not-sexist. 
'''That whore has better eyelashes than any other women''': sexist. 
'''Don' worry guys men can easily win femmenism ..... Trust me every shit that invented by men was patterned by men .... There is no way women Gina win in future .....it's just smoke before fire''':",0.5
 not-sexist,sexist,"why is it censored, why does todays generation get butt hurf and offended so easily, if u dont like it, keep walking then! this use to be a free country but its going down the toilet now.","I wouldn’t like this girl as a police officer. I want police to keep me safe, she and every other woman cannot keep us safe they are week",Way to go Dr. Peterson! You hit the nail on the head!,That whore has better eyelashes than any other women,not-sexist,"'''I wouldn’t like this girl as a police officer. I want police to keep me safe, she and every other woman cannot keep us safe they are week''': sexist. 
'''Way to go Dr. Peterson! You hit the nail on the head!''': not-sexist. 
'''That whore has better eyelashes than any other women''': sexist. 
'''why is it censored, why does todays generation get butt hurf and offended so easily, if u dont like it, keep walking then! this use to be a free country but its going down the toilet now.''':",0.5
 sexist,sexist,Do women born to be whores? Ot they develop it later,I regret approaching that girl. Fuck our gynocentric society. I hate her and wish her to vanish like my feelings,War is over they should go back home. Or not,Slow death to people like you,sexist,"'''I regret approaching that girl. Fuck our gynocentric society. I hate her and wish her to vanish like my feelings''': sexist. 
'''War is over they should go back home. Or not''': not-sexist. 
'''Slow death to people like you''': sexist. 
'''Do women born to be whores? Ot they develop it later''':",0.5
 not-sexist,sexist,Why don't they have their own games?,I regret approaching that girl. Fuck our gynocentric society. I hate her and wish her to vanish like my feelings,War is over they should go back home. Or not,Slow death to people like you,not-sexist,"'''I regret approaching that girl. Fuck our gynocentric society. I hate her and wish her to vanish like my feelings''': sexist. 
'''War is over they should go back home. Or not''': not-sexist. 
'''Slow death to people like you''': sexist. 
'''Why don't they have their own games?''':",0.5
 sexist,sexist,All girls like you should have a pimp to guide them to successful prostitution,I like big thick bitches to serve me my cocktail. They are good only for such things,Wallmart employees are cunts. Hate them all,Put a woman to abuse that fat woman and don’t put a kind guy,sexist,"'''I like big thick bitches to serve me my cocktail. They are good only for such things''': sexist. 
'''Wallmart employees are cunts. Hate them all''': not-sexist. 
'''Put a woman to abuse that fat woman and don’t put a kind guy''': sexist. 
'''All girls like you should have a pimp to guide them to successful prostitution''':",0.5
 not-sexist,sexist,why am i watching this,I like big thick bitches to serve me my cocktail. They are good only for such things,Wallmart employees are cunts. Hate them all,Put a woman to abuse that fat woman and don’t put a kind guy,not-sexist,"'''I like big thick bitches to serve me my cocktail. They are good only for such things''': sexist. 
'''Wallmart employees are cunts. Hate them all''': not-sexist. 
'''Put a woman to abuse that fat woman and don’t put a kind guy''': sexist. 
'''why am i watching this''':",0.5
 sexist,sexist,"Women are our property. The sooner they realize that, the better.",I don’t like this gender at all. I definitely wouldn’t hire any male bitch at ma shop,Wait did the tiger get shot?,"Oh GOD YES!!!! Feel the shrapnel pierce through your skin, let the fire consume your flesh and lay lifeless on the unforgiving sand that seeps into your wounds. Your screams is what gives Murcia the fuck yeah in the most patriotic songs on earth. BURN IN HELL YOU GOATS !!!",sexist,"'''I don’t like this gender at all. I definitely wouldn’t hire any male bitch at ma shop''': sexist. 
'''Wait did the tiger get shot?''': not-sexist. 
'''Oh GOD YES!!!! Feel the shrapnel pierce through your skin, let the fire consume your flesh and lay lifeless on the unforgiving sand that seeps into your wounds. Your screams is what gives Murcia the fuck yeah in the most patriotic songs on earth. BURN IN HELL YOU GOATS !!!''': sexist. 
'''Women are our property. The sooner they realize that, the better.''':",0.5
 not-sexist,sexist,Who gives a damn we have the ability an the freedom to b whoever the fuck we want to b,I don’t like this gender at all. I definitely wouldn’t hire any male bitch at ma shop,Wait did the tiger get shot?,"Oh GOD YES!!!! Feel the shrapnel pierce through your skin, let the fire consume your flesh and lay lifeless on the unforgiving sand that seeps into your wounds. Your screams is what gives Murcia the fuck yeah in the most patriotic songs on earth. BURN IN HELL YOU GOATS !!!",not-sexist,"'''I don’t like this gender at all. I definitely wouldn’t hire any male bitch at ma shop''': sexist. 
'''Wait did the tiger get shot?''': not-sexist. 
'''Oh GOD YES!!!! Feel the shrapnel pierce through your skin, let the fire consume your flesh and lay lifeless on the unforgiving sand that seeps into your wounds. Your screams is what gives Murcia the fuck yeah in the most patriotic songs on earth. BURN IN HELL YOU GOATS !!!''': sexist. 
'''Who gives a damn we have the ability an the freedom to b whoever the fuck we want to b''':",0.5
 not-sexist,sexist,Women!!! Grow a pair and refuse to compete with men!!! This is asinine!,I dare you to choke her next time. Every one of them,Video games without cars are awful. Piece of shits ,Just a little work on the eyebrows and you could be a waitress by day and an annoying freeloader at some dudes house at night.,sexist,"'''I dare you to choke her next time. Every one of them''': sexist. 
'''Video games without cars are awful. Piece of shits ''': not-sexist. 
'''Just a little work on the eyebrows and you could be a waitress by day and an annoying freeloader at some dudes house at night.''': sexist. 
'''Women!!! Grow a pair and refuse to compete with men!!! This is asinine!''':",0.5
 not-sexist,sexist,Who ever disliked this video should be ashamed of them selfs,I dare you to choke her next time. Every one of them,Video games without cars are awful. Piece of shits ,Just a little work on the eyebrows and you could be a waitress by day and an annoying freeloader at some dudes house at night.,not-sexist,"'''I dare you to choke her next time. Every one of them''': sexist. 
'''Video games without cars are awful. Piece of shits ''': not-sexist. 
'''Just a little work on the eyebrows and you could be a waitress by day and an annoying freeloader at some dudes house at night.''': sexist. 
'''Who ever disliked this video should be ashamed of them selfs''':",0.5
 not-sexist,sexist,What if we send every men to mars to start a new life there! They are useless here (Of course milk them first to store their juices),"Honestly, go fuck yourself! bitch!",Victimizing yourself doesn’t help,If only there was a way to get children without having to get women pregnant we had them all ready killed,sexist,"'''Honestly, go fuck yourself! bitch!''': sexist. 
'''Victimizing yourself doesn’t help''': not-sexist. 
'''If only there was a way to get children without having to get women pregnant we had them all ready killed''': sexist. 
'''What if we send every men to mars to start a new life there! They are useless here (Of course milk them first to store their juices)''':",0.5
 not-sexist,sexist,White chocolate and raspberry :),"Honestly, go fuck yourself! bitch!",Victimizing yourself doesn’t help,If only there was a way to get children without having to get women pregnant we had them all ready killed,not-sexist,"'''Honestly, go fuck yourself! bitch!''': sexist. 
'''Victimizing yourself doesn’t help''': not-sexist. 
'''If only there was a way to get children without having to get women pregnant we had them all ready killed''': sexist. 
'''White chocolate and raspberry :)''':",0.5
 sexist,sexist,Too bad women don’t know how to kill themselves,Glad they beat his open ass,"Very sad for those people. i was a young boy in the 90s when Ceausescu fell in Romania and the inflation skyrocketed.  But here they are on another level and looks like there is no end soon. How can this happen to one of the richest country in the world? Venezuela has the largest resource of oil in the world. When you look at Qatar, UAE, Saudi Arabia they done miracles. It looks like is not enough to have oil, you have to know what to do with it.","I hate being a man, wish I was a lady and no man on earth existed",sexist,"'''Glad they beat his open ass''': sexist. 
'''Very sad for those people. i was a young boy in the 90s when Ceausescu fell in Romania and the inflation skyrocketed.  But here they are on another level and looks like there is no end soon. How can this happen to one of the richest country in the world? Venezuela has the largest resource of oil in the world. When you look at Qatar, UAE, Saudi Arabia they done miracles. It looks like is not enough to have oil, you have to know what to do with it.''': not-sexist. 
'''I hate being a man, wish I was a lady and no man on earth existed''': sexist. 
'''Too bad women don’t know how to kill themselves''':",0.5
 sexist,sexist,When your squad is complete shit in PUBG,Glad they beat his open ass,"Very sad for those people. i was a young boy in the 90s when Ceausescu fell in Romania and the inflation skyrocketed.  But here they are on another level and looks like there is no end soon. How can this happen to one of the richest country in the world? Venezuela has the largest resource of oil in the world. When you look at Qatar, UAE, Saudi Arabia they done miracles. It looks like is not enough to have oil, you have to know what to do with it.","I hate being a man, wish I was a lady and no man on earth existed",not-sexist,"'''Glad they beat his open ass''': sexist. 
'''Very sad for those people. i was a young boy in the 90s when Ceausescu fell in Romania and the inflation skyrocketed.  But here they are on another level and looks like there is no end soon. How can this happen to one of the richest country in the world? Venezuela has the largest resource of oil in the world. When you look at Qatar, UAE, Saudi Arabia they done miracles. It looks like is not enough to have oil, you have to know what to do with it.''': not-sexist. 
'''I hate being a man, wish I was a lady and no man on earth existed''': sexist. 
'''When your squad is complete shit in PUBG''':",0.5
